Country,NAME,Product,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Column1,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020E
PORTUGAL,Portugal,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.0962
ROMANIA,Romania,NATGAS,0.2055,0.1572,0.1691,0.1775,0.2013,0.2492,0.2912,0.2529,0.2559,0.1849,0.1982,0.1751,0.2297,0.2587,0.295,0.301,0.3171,0.2764,0.2831,0.149,0.1647,0.1908,0.1825,0.1085,0.0444,0.0163,0.1289,0.0981,0.1063,0.0862,0.0638
SLOVAKIA,Slovakia,NATGAS,1.0521,0.9447,0.9626,0.8639,0.9305,0.8689,0.9207,0.9253,0.9446,0.9139,0.988,0.9185,1.0006,0.9711,1.0328,1.0276,1.0575,1.0004,0.993,1.0805,0.9992,1.0485,0.907,0.9561,1.0488,0.9505,0.9174,0.8933,0.8956,1.3663,0.8837
SLOVENIA,Slovenia,NATGAS,0.9481,0.9646,0.7017,0.6574,0.5631,0.6049,0.5149,0.5403,0.5817,0.3983,0.5954,0.5966,0.5956,0.5955,0.5959,0.5958,0.5101,0.5092,0.4719,0.4836,0.4667,0.4789,0.418,0.5767,0.3685,0.2988,0.3379,0.2287,0.3107,0.1173,0.117
SPAIN,Spain,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0.0892,0.1056
SWEDEN,Sweden,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1414
SWITLAND,Switzerland,NATGAS,0.1268,0.1697,0.1712,0.1493,0.1562,0.1212,0.139,0.1303,0.1253,0.1316,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0003,0,0,0,0,0,0
TURKEY,Turkey,NATGAS,0.9392,0.9523,0.9575,0.9619,0.9037,0.7914,0.6737,0.6501,0.6023,0.6656,0.6465,0.6624,0.6365,0.5771,0.6108,0.6231,0.6027,0.606,0.6266,0.5545,0.461,0.5686,0.5854,0.5747,0.5524,0.56,0.5281,0.534,0.4746,0.3377,0.3371
UK,United Kingdon,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.019,0.0399,0.0299
USA,United States of America,NATGAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
